Nro Ruc,Nro Orden,Formulario,Periodo,Fecha Presentacion,Indicador Rectif,Nro Casilla,Valor Casilla
20602320830,993824630,0621,202201,02/15/2022,0,002,20602320830,
20602320830,993824630,0621,202201,02/15/2022,0,005,0,
20602320830,993824630,0621,202201,02/15/2022,0,007,202201,
20602320830,993824630,0621,202201,02/15/2022,0,013,02/15/2022,
20602320830,993824630,0621,202201,02/15/2022,0,056,8,
20602320830,993824630,0621,202201,02/15/2022,0,058,09:14:05,
20602320830,993824630,0621,202201,02/15/2022,0,100,25343.00,
20602320830,993824630,0621,202201,02/15/2022,0,101,4562.00,
20602320830,993824630,0621,202201,02/15/2022,0,107,22925.00,
20602320830,993824630,0621,202201,02/15/2022,0,108,4127.00,
20602320830,993824630,0621,202201,02/15/2022,0,131,4562.00,
20602320830,993824630,0621,202201,02/15/2022,0,140,435.00,
20602320830,993824630,0621,202201,02/15/2022,0,145,1275.00,
20602320830,993824630,0621,202201,02/15/2022,0,164,0.00,
20602320830,993824630,0621,202201,02/15/2022,0,165,0.00,
20602320830,993824630,0621,202201,02/15/2022,0,178,4127.00,
20602320830,993824630,0621,202201,02/15/2022,0,184,-840.00,
20602320830,993824630,0621,202201,02/15/2022,0,185,0.00,
20602320830,993824630,0621,202201,02/15/2022,0,188,0.00,
20602320830,993824630,0621,202201,02/15/2022,0,189,0.00,
20602320830,993824630,0621,202201,02/15/2022,0,301,25343.00,
20602320830,993824630,0621,202201,02/15/2022,0,302,253.00,
20602320830,993824630,0621,202201,02/15/2022,0,303,0.00,
20602320830,993824630,0621,202201,02/15/2022,0,304,253.00,
20602320830,993824630,0621,202201,02/15/2022,0,307,0.00,
20602320830,993824630,0621,202201,02/15/2022,0,312,253.00,
20602320830,993824630,0621,202201,02/15/2022,0,315,1.0,
20602320830,993824630,0621,202201,02/15/2022,0,317,0.00,
20602320830,993824630,0621,202201,02/15/2022,0,324,253.00,
20602320830,993824630,0621,202201,02/15/2022,0,336,0.00,
20602320830,993824630,0621,202201,02/15/2022,0,509,0,
20602320830,993824630,0621,202201,02/15/2022,0,510,0,
20602320830,993824630,0621,202201,02/15/2022,0,511,0,
20602320830,993824630,0621,202201,02/15/2022,0,681,0.00,
20602320830,993824630,0621,202201,02/15/2022,0,682,253.00,
20602320830,993824630,0621,202201,02/15/2022,0,861,6,
20602320830,993824630,0621,202201,02/15/2022,0,886,0,
20602320830,993824630,0621,202201,02/15/2022,0,887,0,
20602320830,993824630,0621,202201,02/15/2022,0,888,0,
20602320830,993824630,0621,202201,02/15/2022,0,889,2,
20602320830,993824630,0621,202201,02/15/2022,0,895,0,
